Date,Time in bed(hr)
2021-06-29 07:59:15 - 2021-06-29 08:01:16,0.034
2021-06-29 08:03:25 - 2021-06-29 08:04:09,0.012
2021-06-30 08:21:10 - 2021-06-30 08:44:58,0.397
2021-07-01 07:46:54 - 2021-07-01 08:25:23,0.641
2021-07-01 08:29:56 - 2021-07-01 08:32:04,0.036
2021-07-01 08:32:35 - 2021-07-01 08:38:37,0.101
2021-07-02 08:21:29 - 2021-07-02 08:22:07,0.011
2021-07-03 08:19:20 - 2021-07-03 08:43:15,0.399
2021-07-04 08:29:49 - 2021-07-04 09:00:02,0.504
2021-07-04 23:30:00 - 2021-07-05 07:47:32,8.292
2021-07-05 07:47:34 - 2021-07-05 07:47:44,0.003
2021-07-05 08:58:01 - 2021-07-05 09:00:07,0.035
2021-07-06 08:37:03 - 2021-07-06 09:00:02,0.383
2021-07-07 09:06:51 - 2021-07-07 09:07:07,0.005
2021-07-08 07:57:14 - 2021-07-08 07:58:32,0.022
2021-07-08 23:41:43 - 2021-07-09 07:14:44,7.550
2021-07-09 07:37:29 - 2021-07-09 07:37:40,0.003
2021-07-09 07:40:14 - 2021-07-09 07:40:20,0.002
2021-07-09 07:50:34 - 2021-07-09 07:50:38,0.001
2021-07-10 08:49:42 - 2021-07-10 09:00:19,0.177
2021-07-11 08:36:52 - 2021-07-11 09:00:14,0.390
2021-07-12 02:02:30 - 2021-07-12 07:05:12,5.045
2021-07-12 07:31:21 - 2021-07-12 07:31:24,0.001
2021-07-12 07:39:53 - 2021-07-12 07:47:26,0.126
2021-07-12 07:48:24 - 2021-07-12 07:48:28,0.001
2021-07-13 02:12:04 - 2021-07-13 07:48:06,5.601
2021-07-13 07:48:27 - 2021-07-13 07:50:02,0.026
2021-07-13 08:00:54 - 2021-07-13 08:01:01,0.002
2021-07-13 08:35:47 - 2021-07-13 08:35:50,0.001
2021-07-13 08:41:50 - 2021-07-13 08:41:55,0.001
2021-07-14 08:24:22 - 2021-07-14 08:54:19,0.499
2021-07-14 23:30:00 - 2021-07-15 07:52:30,8.375
2021-07-15 07:52:32 - 2021-07-15 07:52:34,0.001
2021-07-15 08:36:27 - 2021-07-15 08:36:29,0.001
2021-07-15 08:51:53 - 2021-07-15 09:00:03,0.136
2021-07-16 03:22:27 - 2021-07-16 07:13:39,3.853
2021-07-16 08:19:04 - 2021-07-16 08:34:32,0.258
2021-07-16 08:34:47 - 2021-07-16 08:37:34,0.046
2021-07-17 01:45:10 - 2021-07-17 08:25:24,6.671
2021-07-17 08:56:36 - 2021-07-17 09:00:03,0.058
2021-07-18 08:56:06 - 2021-07-18 09:00:02,0.066
2021-07-19 00:26:42 - 2021-07-19 08:02:00,7.588
2021-07-20 05:18:32 - 2021-07-20 06:50:38,1.535
